cinema,date,time,title,snif,type
Yes Planet,30/09/2024,20:00,Adios Buenos Aires,Rishon Letzion,Regular
Yes Planet,30/09/2024,19:00,Adios Buenos Aires,Tel Aviv,Regular
Yes Planet,30/09/2024,21:45,Alien: Romulus,Haifa,Regular
Cinema City,30/09/2024,21:50,Bad Boys: Ride or Die,Chadera,Regular
Yes Planet,30/09/2024,21:30,Bad Boys: Ride or Die,Rishon Letzion,Regular
Yes Planet,30/09/2024,21:15,Bad Boys: Ride or Die,Tel Aviv,Regular
Yes Planet,30/09/2024,20:00,Bad Boys: Ride or Die,Beer Sheva,Regular
Yes Planet,30/09/2024,19:30,Bad Boys: Ride or Die,Haifa,Regular
Cinema City,30/09/2024,21:50,Bad Genius,Tel Aviv,Regular
Cinema City,30/09/2024,19:00,Bad Genius,Rishon Letzion,Regular
Cinema City,30/09/2024,19:00,Bad Genius,Jerusalem,Regular
Cinema City,30/09/2024,19:30,Bad Genius,Chadera,Regular
Cinema City,30/09/2024,19:30,Bad Genius,Ashdod,Regular
Yes Planet,30/09/2024,19:40,Bad Genius,Rishon Letzion,Regular
Yes Planet,30/09/2024,21:45,Bad Genius,Rishon Letzion,Regular
Yes Planet,30/09/2024,19:15,Bad Genius,Tel Aviv,Regular
Yes Planet,30/09/2024,21:30,Bad Genius,Tel Aviv,Regular
Yes Planet,30/09/2024,21:40,Bad Genius,Beer Sheva,Regular
Yes Planet,30/09/2024,19:45,Bad Genius,Zichron Yaakov,Regular
Yes Planet,30/09/2024,22:20,Bad Genius,Zichron Yaakov,Regular
Yes Planet,30/09/2024,19:30,Bad Genius,Haifa,Regular
Yes Planet,30/09/2024,21:45,Bad Genius,Haifa,Regular
Yes Planet,30/09/2024,19:10,Bad Genius,Jerusalem,Regular
Yes Planet,30/09/2024,21:30,Bad Genius,Jerusalem,Regular
Cinema City,30/09/2024,19:15,Beetlejuice Beetlejuice,Tel Aviv,Regular
Cinema City,30/09/2024,21:40,Beetlejuice Beetlejuice,Tel Aviv,Regular
Cinema City,30/09/2024,19:45,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Cinema City,30/09/2024,21:30,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Cinema City,30/09/2024,19:00,Beetlejuice Beetlejuice,Jerusalem,Regular
